home_id,current_usage,acc_usage,time
24d3440e-c786-49bd-b454-57049bb389ab,0.031896,1.921314,2021-03-26T03:10:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038916,1.960230,2021-03-26T03:15:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.035814,1.996044,2021-03-26T03:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033997,2.030041,2021-03-26T03:25:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031960,2.062001,2021-03-26T03:30:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025388,2.087389,2021-03-26T03:35:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025197,2.112586,2021-03-26T03:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025396,2.137982,2021-03-26T03:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.029928,2.167910,2021-03-26T03:50:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048266,2.216176,2021-03-26T03:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.065945,2.282121,2021-03-26T04:00:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.066904,2.349025,2021-03-26T04:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.063662,2.412687,2021-03-26T04:10:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.064045,2.476732,2021-03-26T04:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.062066,2.538798,2021-03-26T04:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054328,2.593126,2021-03-26T04:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.035296,2.628422,2021-03-26T04:30:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033744,2.662166,2021-03-26T04:35:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.035098,2.697264,2021-03-26T04:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.028424,2.725688,2021-03-26T04:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025605,2.751293,2021-03-26T04:50:43Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025892,2.777185,2021-03-26T04:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.026134,2.803319,2021-03-26T05:00:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.034247,2.837566,2021-03-26T05:05:42Z
